PHRASE,START,END
okay,1452.11,1452.55
this time,1453.13,1453.7199999999998
I want you to drive it up fast so we're gonna go slow,1454.15,1456.669999
slow slow,1457.09,1457.779999
and then drive it up,1458.17,1459.09
ready,1459.41,1459.69
join me now hinge,1460.22,1461.23
back flat,1461.93,1462.29
slow slow slow,1462.93,1463.8
drive it,1464.35,1464.83
up so I want you to pretend like you're breaking glass at the top,1465.05,1467.62
that knee,1467.83,1468.589999
I want it to go up as fast as,1468.96,1470.38
you can,1470.8300000000002,1471.34
yeah,1471.84,1472.28
if you're still working on the balance,1472.83,1474.12
stay where we were in that first round,1474.539999,1475.920001
but if you're feeling pretty good,1476.369999,1477.49
I want to see that glass break,1478.15,1479.31
come on,1479.85,1480.22
let's go up,1480.94,1481.4
yeah,1482.18,1482.49
whoo keep it strong,1484.88,1486.09
few more,1487.08,1487.76
slow slow slow,1490.03,1490.939999
drive it up all right other side,1491.37,1493.71
slight bend in the leg,1494.34,1495.1899999999998
chest up,1495.51,1496.09
let's get it whoo I,1496.6,1500.5600000000002
am loving this I,1501.3,1502.12
am nice and sweaty I don't know about you guys,1502.51,1503.69
but,1504.28,1504.57
I am sweaty whoo,1505.639999,1506.9
all right drive it up,1508.469999,1509.319999
remember you're breaking glass and you might notice one sides a little bit harder than the other and that's totally fine,1510.01,1515.93
that's why I love doing single sided movements because,1516.34,1519.1
it always,1519.45,1519.87
helps you recognize where your weaknesses are,1520.74,1522.919999
but not only that you're strengthening them,1523.28,1524.91
like for me,1525.349999,1526.01
I hurt my right ankle a long time ago,1526.25,1528.169999
and this sides a little wobbly for me,1528.440001,1529.89
all right,1530.5300000000002,1530.96
last one,1531.19,1531.73
drive it up,1532.24,1532.76
okay,1533.44,1533.98
now we go little plank rows,1534.65,1535.72
now I want you to row fast,1536.19,1537.44
okay,1538.08,1538.56
so be in this plank position,1538.83,1539.98
row,1540.19,1540.47
row,1540.79,1541.28
ready,1541.509999,1541.6799990000002
join me now let's pull pull so if you want to make this harder,1542.349999,1546.07
take those feet more narrow,1546.389999,1548.08
what you got,1548.469999,1548.97
look past those fingertips,1549.52,1550.84
squeeze,1551.19,1551.74
squeeze,1552.11,1552.62
so heart rates probably up,1554.21,1555.32
on this one,1555.88,1555.99
where,1556.37,1556.51
you at mom are you still working out with me come on you're why I work hard you taught me everything,1558.6,1563.439999
so you gotta keep,1563.75,1564.259999
going mom,1564.5599989999998,1564.779999
come on 10 more seconds,1565.27,1566.4900000000002
let's go,1569.54,1570.02
last five,1570.42,1571.16
come on three,1571.78,1572.64
two,1573.12,1573.29
one,1573.99,1574.39
relax,1574.82,1575.66
okay,1577.679999,1578.149999
we're going one more time on those hinges,1579.059999,1581.05
this is the last round,1581.299999,1582.479999
we're gonna still break that glass,1582.98,1584.33
I want to stay there,1584.9,1585.6
you ready,1586.15,1586.56
all right hinge,1587.15,1588.11
slow,1589.24,1589.61
break the glass,1590.01,1590.87
almost fell over,1591.28,1591.9
keep that back flat,1592.37,1593.48
drive it up,1595.09,1595.6
yeah Shala I'm so glad you're working with me,1596.429999,1600.829999
thank you so much for being here,1601.18,1602.720001
it's been so fun,1603.18,1604.15
first squad,1605.41,1605.86
together,1606.4,1606.8000000000002
come on,1607.21,1607.52
if you're feeling really fancy on these last one squad,1608.77,1610.94
and maybe you can be able to jump at the top we got to stick it,1611.5,1613.52
okay,1613.759999,1614.029999
we only got two more,1614.429999,1615.29
guys,1616.46,1616.49
gotta stick that landing,1616.839999,1617.8100000000002
last one,1618.09,1618.769999
all right relax,1620.859999,1621.94
other side,1622.43,1623.07
slight bend in the leg,1623.7,1624.4799999999998
we break the glass,1625.12,1626.11
and then for that last three,1626.54,1627.88
we'll try to get a little explosion we'll kind of stick that landing whoo,1628.21,1630.4399999999998
yep,1632.19,1632.44
slow slow slow,1634.53,1635.399999
control it,1636.1,1636.6899990000002
I love strength training,1637.16,1638.379999
it's something that's,1638.73,1639.7099999999998
changed my life,1640.01,1641.09
in so many different ways,1641.32,1642.57
when I,1643.11,1643.52
was able to see how much stronger,1643.86,1645.7099999999998
my body,1646.01,1646.7
could be,1647.059999,1647.69
it was such a good reminder anytime anything was challenging for myself,1647.9,1651.14
I could remember how I was able to take control,1651.36,1653.76
and to make myself better,1653.969999,1655.219999
and make myself stronger,1655.42,1656.51
so that's why I love,1656.92,1657.64
the strength train,1658.02,1658.67
all right let's get that explosive push right now up,1659.15,1661.48
stick it,1663.06,1663.49
hinge whoa almost fell over good thing I got my fireplace,1664.37,1667.18
last one,1667.4,1668.0
and up,1669.57,1669.62
all right,1670.94,1671.34
squad,1672.35,1672.8
we're done with our little strength set,1673.6,1674.66
we're going to go back to those,1675.37,1676.35
fast feet,1676.81,1677.39
this time we're going hip switches,1677.86,1679.32
so we're going to turn our hips back so it's like a little fancy dance move so you switch,1679.56,1683.859999
nice and,1684.09,1684.4399999999998
so when I say switch,1685.16,1686.079999
you move those,1686.42,1687.05
hips one direction only ready,1687.34,1688.95
quick feet let's go,1689.32,1690.09
switch switch switch switch switch,1695.8300000000002,1696.2800000000002
yes squad come on Kersey,1697.12,1697.4699999999998
you,1699.36,1699.4199999999998
still,1701.7199999999998,1701.85
with me switch switch switch switch yes and relax all right team,1705.4,1708.96
we're getting close,1709.559999,1710.289999
tap those feet out,1711.0,1711.7299999999998
now we got to go the other way,1712.44,1713.72
on,1714.39,1714.73
those,1715.27,1715.63
switches,1716.12,1716.6799999999998
so catch your breath,1717.85,1718.649999
my heart rates up,1718.91,1719.63
ah all right,1722.9799999999998,1723.4499999999998
you ready,1724.57,1725.06
quick feet with those hips switches going the other way three two one,1725.77,1728.61
let's go hut,1732.07,1732.2199999999998
switch,1732.99,1733.27
switch,1738.31,1738.48
yeah,1738.79,1738.81
come on,1741.48,1741.75
switch switch switch come on come on stay with me switch switch switch and,1742.389999,1746.179999
relax,1747.269999,1747.479999
yes,1748.5599989999998,1749.3699989999998
all right we are done with those fast feet,1749.7,1751.33
and I see,1751.93,1752.4399999999998
my Chicago,1752.88,1753.0399999999995
families in the chat,1753.89,1754.43
I love you guys I miss you all so much,1755.07,1756.81
I know I'm here in LA but Chicago will forever be my heart,1757.219999,1760.26
so I love you guys,1760.63,1761.67
okay,1762.309999,1762.719999
so guess what,1763.279999,1763.929999
it's time for our finisher,1764.75,1765.6
see,1766.21,1766.5
time flies by when you are having fun what we're gonna do now,1767.37,1769.67
is I'm gonna give you,1770.28,1771.03
a hold,1771.86,1772.4
when I say hold,1772.91,1773.8
you're gonna hold it in a,1774.349999,1775.14
squat,1775.4899999999998,1775.54
just like this but before that we're gonna work for 20 seconds,1776.139999,1779.42
in a,1779.77,1780.23
squat,1780.869999,1781.229999
in a speed squat,1781.949999,1782.85
or a squat jump whatever you want to do,1783.28,1785.3300000000002
and when I say hold,1785.76,1786.34
we'll hold it low,1786.91,1787.6
we're going to get three,1788.12,1789.17
times,1789.5,1789.89
okay,1790.34,1790.6799999999998
so this is one of two finishers,1791.04,1792.02
you,1792.43,1792.45
ready to join me,1793.059999,1793.55
alright squad,1794.559999,1795.25
so we've got twenty second speed squats here we go let's get it in three,1795.52,1799.3000009999998
two,1799.619999,1799.739999
one,1800.379999,1800.5899989999998
squat jumps,1801.74,1802.35
or speed jumps,1802.69,1803.43
what you got,1803.76,1804.29
we're getting close to the end,1804.86,1805.95
so if you have any questions,1807.32,1808.45
for me,1808.66,1808.85
we're gonna answer them at the end of the chat cooldown I can't even talk,1809.39,1814.809999
let's,1815.25,1815.31
go three,1815.53,1815.67
two one hold yeah there we go catch your breath,1816.46,1821.63
now if you want to waddle over to your computer and ask you a question,1822.25,1824.68
type it up,1825.14,1825.62
I'll answer when it is time for the cool down,1826.059999,1827.54
all right,1828.179999,1828.42
let's,1829.62,1829.68
stay low,1831.03,1831.52
come on promise your legs aren't gonna fall off,1832.429999,1833.93
this is Round one of three,1834.289999,1836.139999
you ready,1836.49,1836.9
three,1837.28,1837.67
two one speed squats or squat,1838.37,1839.29
jumps let's go,1840.53,1841.44
come on,1841.9,1842.27
are you,1842.88,1842.91
moving quick let's get it get low keep that chest up,1843.34,1847.339999
your legs are gonna feel like,1847.86,1848.91
they're gonna fall but I promise,1849.3,1850.55
they're gonna be there the whole time,1851.04,1852.07
okay,1852.539999,1852.819999
they're keeping you up keeping you strong,1853.07,1854.44
three,1854.93,1855.21
two,1855.89,1856.03
hold,1856.68,1857.06
oh there it is,1859.02,1859.63
ooh happy thoughts,1862.09,1862.919999
happy thoughts,1863.82,1864.439999
come on squad whoo we're,1865.259999,1868.08
almost there,1868.389999,1869.039999
big inhale,1871.51,1872.06
big,1873.049999,1873.439999
exhale,1873.769999,1874.189999
team are you with me for our last round best round in three,1874.939999,1878.54
two,1878.85,1878.98
one,1879.62,1879.85
squats or squat jump,1880.34,1881.829999
what you,1882.24,1882.65
got,1882.97,1883.05
come on,1883.46,1883.82
let those legs burn right now,1884.36,1885.959999
come on,1887.52,1887.76
come,1888.369999,1888.559999
on,1888.939999,1889.199999
almost there,1892.21,1893.0
give me five,1893.32,1894.12
three,1894.87,1895.29
two,1895.85,1895.96
hold,1897.14,1897.37
this is it,1899.74,1900.25
we have one,1901.29,1902.07
more,1902.7,1903.07
okay one more set of finishers then,1903.92,1905.52
we're done so stay with me ten seconds,1906.14,1908.360001
ah,1909.19,1909.35
breathe,1910.32,1910.94
I love it so many different cities,1911.56,1912.71
joining in a chat right now from all over the US and I know my toronto fam is here too,1912.99,1917.25
alright,1917.67,1917.95
come on,1918.53,1918.85
three,1919.349999,1919.739999
two,1920.409999,1920.629999
one,1921.019999,1921.439999
stand it up,1923.49,1924.109999
tap it out,1924.949999,1925.59
so we're not done yet,1927.07,1927.83
we're not done yet,1928.95,1929.74
we've got another,1930.47,1931.14
litter,1931.81,1932.17
little,1932.84,1933.11
finisher,1934.62,1935.09
I say a little you know,1936.11,1937.15
they might over,1937.96,1938.49
involve something that's called,1938.83,1939.94
a burpee,1940.21,1940.7
and everyone was like no,1942.03,1942.699999
okay,1943.51,1943.88
so we're gonna,1944.33,1944.92
go to a burpee you can walk it out walk it in,1945.35,1947.96
and up whatever you want to do,1948.26,1949.47
or you can jump,1949.91,1950.69
you can give me some,1951.14,1951.84
some good old Kirstie Gotso,1952.22,1953.439999
hot sauce,1954.249999,1954.459999
burpees whatever you want,1954.9,1955.73
but then we've got twenty seconds,1955.94,1957.35
in a plank hold,1957.87,1958.66
okay,1959.21,1959.52
and I know it's so super Sam is in the chat working out with us,1960.1,1962.6
and girl is gonna crush these burpees,1962.93,1964.2
right now aren't you girl,1964.52,1965.36
come on,1965.81,1966.08
alright,1966.61,1967.02
push ups or burpees first,1968.12,1970.19
I don't even know what day it is anymore,1970.8,1972.08
you ready for those burpees here we go three,1972.45,1975.09
two,1975.63,1975.75
one jump it up jump it down we've got three rounds of this,1976.469999,1979.849999
burpees,1980.119999,1980.659999
and plank,1981.159999,1982.04
so keep it strong don't just throw yourself on the ground,1985.08,1987.84
use those arms use your core,1988.09,1989.6
to,1990.139999,1990.459999
keep you strong,1990.83,1991.65
we have five come on,1992.05,1993.389999
four,1993.889999,1994.289999
three,1994.849999,1995.299999
two,1995.979999,1996.139999
one,1996.66,1997.01
and plank hold,1997.369999,1998.56
20 seconds,1998.9,1999.61
squeeze those quads push energy through your heels,2000.98,2003.3
happy thoughts,2005.06,2005.78
I promise,2006.33,2006.95
it's almost over,2007.73,2008.51
breathe,2010.349999,2010.959999
big inhale,2013.139999,2013.929999
big exhale,2015.559999,2016.52
come on we're back to burpees in three two,2016.97,2019.16
one come,2019.42,2019.96
on,2021.18,2021.26
almost there up drop it down,2022.7,2023.51
squad this is where it really counts,2024.46,2025.98
I know you're tired,2026.48,2027.35
but I'm right here with you,2027.65,2028.76
I'm just as tired as you guys are,2029.15,2030.709999
come on,2031.239999,2031.509999
but we do this together,2032.909999,2033.800001
knowing that we can all,2034.33,2035.42
push together is what gets me motivated,2035.78,2037.75
so,2038.17,2038.45
I need you,2039.19,2039.64
come on,2039.94,2040.33
three,2040.97,2041.37
two,2042.02,2042.37
one,2042.82,2043.22
plank hold,2044.25,2045.08
yeah,2045.93,2046.69
let's get it,2047.26,2048.02
so shoulders down your back,2049.599999,2050.699999
it's okay we need to go to your knees,2051.27,2052.6000000000004
just,2053.3600000000006,2053.4000000000005
hold it,2053.72,2054.15
I just want you to super strong on these,2054.97,2056.65
we're not quitting,2057.01,2057.79
you're with me,2058.49,2058.88
we have one more round last,2059.65,2061.32
round,2061.57,2061.96
best round right now,2062.21,2063.3
four,2063.63,2064.04
three,2064.82,2065.19
two,2065.809999,2066.169999
one come on give it all you got,2066.71,2068.25
maybe you got a tuck jump Burpee,2068.549999,2070.03
I don't know step it step it in whatever you,2070.6,2071.94
got,2074.02,2074.27
ten seconds,2077.05,2077.86
then we have our plnk hold,2078.08,2079.27
come on squad,2080.66,2081.39
five,2082.98,2083.2
four let's go for three,2084.53,2085.85
two,2086.42,2086.48
get an extra one,2086.99,2087.47
plank hold this is it hmm shoulders back,2088.3099999999995,2094.09
keep it strong,2094.89,2095.8700000000003
let the calm,2098.929999,2099.929999
happy thoughts,2100.889999,2101.739999
swell through your body,2102.58,2103.78
because this is it,2104.34,2105.039999
we have five seconds squad don't drop early come on,2105.75,2107.99
four,2108.6,2108.99
three,2109.7,2110.32
two,2110.73,2111.12
slowly lower those legs down,2112.03,2113.6
let's,2114.57,2115.01
just take a little nap alright just kidding,2116.19,2119.609999
I want you to place your hands,2120.049999,2121.009999
right underneath your shoulders,2121.38,2122.55
peel yourself up and off the ground with the shoulders long down your back so really try to actively push in the ground,2123.23,2128.78
squeeze your butt,2129.74,2130.6800000000003
push your,2131.54,2132.01
top of your,2133.17,2133.739999
your feet to the ground,2134.0,2135.05
big inhale,2138.69,2139.51
big exhale oh Anthony has been feeling this playlist,2140.33,2143.14
his question is how can you get this playlist,2143.49,2145.5599999999995
you can check out the Spotify link,2146.19,2147.97
in the YouTube description,2148.25,2149.62
told you,2150.4,2150.699999
my girl kills it,2151.639999,2152.28
Filipinos,2153.3700000000003,2153.61
so sit back into,2156.549999,2157.23
Child's Pose and really reach through for those fingertips,2157.65,2160.269999
big inhale,2161.049999,2161.74
big,2163.36,2163.88
exhales get,2165.2200000000003,2166.21
your breath slowed down a little bit,2167.03,2168.48
you guys Rock,2169.78,2170.98
huh,2172.07,2172.24
alright peel yourself up off the ground,2173.27,2175.05
we're gonna sit with our feet,2176.91,2178.21
in front of us like we're just chilling out like this feet a little wider than our hips,2178.799999,2181.6800000000003
you can place your hands behind you for some stability,2181.98,2184.09
we're gonna drop the knees side to side,2184.39,2186.12
and Julio wants to know what shoes I'm wearing,2187.62,2190.069999
he wants a pair,2190.32,2191.07
these are the super rep,2191.49,2192.28
this is,2193.19,2193.24
a great shoe for hiit so today it was a perfect workout it,2193.589999,2196.73
even has this thing called the Burpee break that puts you in a really great position for the burpees that we were in,2197.26,2201.06
and in a plank position whoo let's get,2201.61,2205.42
a few more just like that,2206.389999,2207.31
so now I want you to drop it to one side square yourself to the shin,2209.44,2213.429999
and then fold yourself,2213.719999,2214.76
forward,2215.23,2215.78
Michelle asked so she's,2216.55,2218.12
been doing it beginner workouts in the app and wondering what other workouts she could do to get stronger,2218.49,2224.3500000000004
well if you haven't already done my kick it off program which is a really great,2224.71,2228.05
total body,2228.389999,2229.23
beginner strength program or anybody can really do it Kirstey,2230.219999,2232.450001
just released,2234.46,2235.21
an awesome strengthen hit program that just came out,2235.44,2237.81
I also love the breakthrough challenge because it's a great holistic program with yoga animal flow strength,2238.47,2243.899999
and hiit,2244.27,2244.78
so there are tons of programs in there there's also a bunch of,2245.429999,2247.82
regular workouts,2249.309999,2250.019999
that aren't in programs as well,2250.619999,2251.76
so check them out,2252.0,2252.66
alright go ahead and flip it over to the other side,2253.92,2255.62
same thing square yourself,2256.29,2257.5200000000004
forward,2257.92,2258.35
oh I love this question,2259.95,2261.56
what does it mean to you to represent,2262.059999,2264.54
as an asian,2264.889999,2265.659999
american woman and athlete,2265.98,2267.33
I love this so much,2268.369999,2269.5
it's funny because this year was something was a year that I was like you know I really want to embrace,2269.74,2274.15
being,2274.57,2275.02
Who I am and where I came from and I was actually born in the Philippines,2275.83,2280.329999
and,2280.69,2281.18
I came to the US,2281.759999,2282.859999
when I was only 2 years old,2283.059999,2284.4
so obviously didn't remember the Philippines,2285.049999,2286.8
very much,2287.48,2288.12
and I,2288.45,2289.46
went,2290.1,2290.44
for Christmas with my mom,2290.9,2292.47
this past year for the first time,2292.75,2294.47
and it was just so amazing to be able to get cultural touch with my culture,2294.8,2299.609999
but for me it's just really representing and being proud of everything that I do and always remembering where it came from because,2299.889999,2305.2
you know my mom is such a big representation of all of my hard work,2305.84,2309.34
and,2309.75,2310.08
she's taught me everything and I really think it's because,2311.07,2313.729999
we,2314.139999,2314.489999
came from the Philippines,2314.7,2316.1
and,2316.49,2316.96
I just like to be really proud of everything and I love Filipino food,2318.28,2321.77
and,2322.01,2322.4500000000003
yeah I don't know if that really answers the question but yeah but anyway,2323.34,2327.2200000000003
