PHRASE,START,END
remember you're breaking glass and you might notice one sides a little bit harder than the other and that's totally ,1510.01,1515.93
that's why I love doing single sided movements ,1516.34,1519.1
it ,1519.45,1519.87
helps you recognize where your weaknesses ,1520.74,1522.919999
but not only that you're strengthening ,1523.28,1524.91
like for ,1525.349999,1526.01
I hurt my right ankle a long time ,1526.25,1528.169999
and this sides a little wobbly for ,1528.440001,1529.89
all ,1530.5300000000002,1530.96
last ,1531.19,1531.73
drive it ,1532.24,1532.76
,1533.44,1533.98
now we go little plank ,1534.65,1535.72
now I want you to row ,1536.19,1537.44
,1538.08,1538.56
so be in this plank ,1538.83,1539.98
,1540.19,1540.47
,1540.79,1541.28
,1541.509999,1541.6799990000002
join me now let's pull pull so if you want to make this ,1542.349999,1546.07
take those feet more ,1546.389999,1548.08
what you ,1548.469999,1548.97
look past those ,1549.52,1550.84
,1551.19,1551.74
,1552.11,1552.62
so heart rates probably ,1554.21,1555.32
on this ,1555.88,1555.99
,1556.37,1556.51
you at mom are you still working out with me come on you're why I work hard you taught me ,1558.6,1563.439999
so you gotta ,1563.75,1564.259999
going ,1564.5599989999998,1564.779999
come on 10 more ,1565.27,1566.4900000000002
let's ,1569.54,1570.02
last ,1570.42,1571.16
come on ,1571.78,1572.64
,1573.12,1573.29
,1573.99,1574.39
,1574.82,1575.66
,1577.679999,1578.149999
we're going one more time on those ,1579.059999,1581.05
this is the last ,1581.299999,1582.479999
we're gonna still break that ,1582.98,1584.33
I want to stay ,1584.9,1585.6
you ,1586.15,1586.56
all right ,1587.15,1588.11
,1589.24,1589.61
break the ,1590.01,1590.87
almost fell ,1591.28,1591.9
keep that back ,1592.37,1593.48
drive it ,1595.09,1595.6
yeah Shala I'm so glad you're working with ,1596.429999,1600.829999
thank you so much for being ,1601.18,1602.720001
it's been so ,1603.18,1604.15
first ,1605.41,1605.86
,1606.4,1606.8000000000002
come ,1607.21,1607.52
if you're feeling really fancy on these last one ,1608.77,1610.94
and maybe you can be able to jump at the top we got to stick ,1611.5,1613.52
,1613.759999,1614.029999
we only got two ,1614.429999,1615.29
,1616.46,1616.49
gotta stick that ,1616.839999,1617.8100000000002
last ,1618.09,1618.769999
all right ,1620.859999,1621.94
other ,1622.43,1623.07
slight bend in the ,1623.7,1624.4799999999998
we break the ,1625.12,1626.11
and then for that last ,1626.54,1627.88
we'll try to get a little explosion we'll kind of stick that landing ,1628.21,1630.4399999999998
,1632.19,1632.44
slow slow ,1634.53,1635.399999
control ,1636.1,1636.6899990000002
I love strength ,1637.16,1638.379999
it's something ,1638.73,1639.7099999999998
changed my ,1640.01,1641.09
in so many different ,1641.32,1642.57
when ,1643.11,1643.52
was able to see how much ,1643.86,1645.7099999999998
my ,1646.01,1646.7
could ,1647.059999,1647.69
it was such a good reminder anytime anything was challenging for ,1647.9,1651.14
I could remember how I was able to take ,1651.36,1653.76
and to make myself ,1653.969999,1655.219999
and make myself ,1655.42,1656.51
so that's why I ,1656.92,1657.64
the strength ,1658.02,1658.67
all right let's get that explosive push right now ,1659.15,1661.48
stick ,1663.06,1663.49
hinge whoa almost fell over good thing I got my ,1664.37,1667.18
last ,1667.4,1668.0
and ,1669.57,1669.62
all ,1670.94,1671.34
,1672.35,1672.8
we're done with our little strength ,1673.6,1674.66
we're going to go back to ,1675.37,1676.35
fast ,1676.81,1677.39
this time we're going hip ,1677.86,1679.32
so we're going to turn our hips back so it's like a little fancy dance move so you ,1679.56,1683.859999
nice ,1684.09,1684.4399999999998
so when I say ,1685.16,1686.079999
you move ,1686.42,1687.05
hips one direction only ,1687.34,1688.95
quick feet let's ,1689.32,1690.09
switch switch switch switch ,1695.8300000000002,1696.2800000000002
yes squad come on ,1697.12,1697.4699999999998
,1699.36,1699.4199999999998
,1701.7199999999998,1701.85
with me switch switch switch switch yes and relax all right ,1705.4,1708.96
we're getting ,1709.559999,1710.289999
tap those feet ,1711.0,1711.7299999999998
now we got to go the other ,1712.44,1713.72
,1714.39,1714.73
,1715.27,1715.63
,1716.12,1716.6799999999998
so catch your ,1717.85,1718.649999
my heart rates ,1718.91,1719.63
ah all ,1722.9799999999998,1723.4499999999998
you ,1724.57,1725.06
quick feet with those hips switches going the other way three two ,1725.77,1728.61
let's go ,1732.07,1732.2199999999998
,1732.99,1733.27
,1738.31,1738.48
,1738.79,1738.81
come ,1741.48,1741.75
switch switch switch come on come on stay with me switch switch switch ,1742.389999,1746.179999
,1747.269999,1747.479999
,1748.5599989999998,1749.3699989999998
all right we are done with those fast ,1749.7,1751.33
and I ,1751.93,1752.4399999999998
my ,1752.88,1753.0399999999995
families in the ,1753.89,1754.43
I love you guys I miss you all so ,1755.07,1756.81
I know I'm here in LA but Chicago will forever be my ,1757.219999,1760.26
so I love you ,1760.63,1761.67
,1762.309999,1762.719999
so guess ,1763.279999,1763.929999
it's time for our ,1764.75,1765.6
,1766.21,1766.5
time flies by when you are having fun what we're gonna do ,1767.37,1769.67
is I'm gonna give ,1770.28,1771.03
a ,1771.86,1772.4
when I say ,1772.91,1773.8
you're gonna hold it in ,1774.349999,1775.14
,1775.4899999999998,1775.54
just like this but before that we're gonna work for 20 ,1776.139999,1779.42
in ,1779.77,1780.23
,1780.869999,1781.229999
in a speed ,1781.949999,1782.85
or a squat jump whatever you want to ,1783.28,1785.3300000000002
and when I say ,1785.76,1786.34
we'll hold it ,1786.91,1787.6
we're going to get ,1788.12,1789.17
,1789.5,1789.89
,1790.34,1790.6799999999998
so this is one of two ,1791.04,1792.02
,1792.43,1792.45
ready to join ,1793.059999,1793.55
alright ,1794.559999,1795.25
so we've got twenty second speed squats here we go let's get it in ,1795.52,1799.3000009999998
,1799.619999,1799.739999
,1800.379999,1800.5899989999998
squat ,1801.74,1802.35
or speed ,1802.69,1803.43
what you ,1803.76,1804.29
we're getting close to the ,1804.86,1805.95
so if you have any ,1807.32,1808.45
for ,1808.66,1808.85
we're gonna answer them at the end of the chat cooldown I can't even ,1809.39,1814.809999
,1815.25,1815.31
go ,1815.53,1815.67
two one hold yeah there we go catch your ,1816.46,1821.63
now if you want to waddle over to your computer and ask you a ,1822.25,1824.68
type it ,1825.14,1825.62
I'll answer when it is time for the cool ,1826.059999,1827.54
all ,1828.179999,1828.42
,1829.62,1829.68
stay ,1831.03,1831.52
come on promise your legs aren't gonna fall ,1832.429999,1833.93
this is Round one of ,1834.289999,1836.139999
you ,1836.49,1836.9
,1837.28,1837.67
two one speed squats or ,1838.37,1839.29
jumps let's ,1840.53,1841.44
come ,1841.9,1842.27
are ,1842.88,1842.91
moving quick let's get it get low keep that chest ,1843.34,1847.339999
your legs are gonna feel ,1847.86,1848.91
they're gonna fall but I ,1849.3,1850.55
they're gonna be there the whole ,1851.04,1852.07
,1852.539999,1852.819999
they're keeping you up keeping you ,1853.07,1854.44
,1854.93,1855.21
,1855.89,1856.03
,1856.68,1857.06
oh there it ,1859.02,1859.63
ooh happy ,1862.09,1862.919999
happy ,1863.82,1864.439999
come on squad whoo ,1865.259999,1868.08
almost ,1868.389999,1869.039999
big ,1871.51,1872.06
,1873.049999,1873.439999
,1873.769999,1874.189999
team are you with me for our last round best round in ,1874.939999,1878.54
,1878.85,1878.98
,1879.62,1879.85
squats or squat ,1880.34,1881.829999
what ,1882.24,1882.65
,1882.97,1883.05
come ,1883.46,1883.82
let those legs burn right ,1884.36,1885.959999
come ,1887.52,1887.76
,1888.369999,1888.559999
,1888.939999,1889.199999
almost ,1892.21,1893.0
give me ,1893.32,1894.12
,1894.87,1895.29
,1895.85,1895.96
,1897.14,1897.37
this is ,1899.74,1900.25
we have ,1901.29,1902.07
,1902.7,1903.07
okay one more set of finishers ,1903.92,1905.52
we're done so stay with me ten ,1906.14,1908.360001
,1909.19,1909.35
,1910.32,1910.94
I love it so many different ,1911.56,1912.71
joining in a chat right now from all over the US and I know my toronto fam is here ,1912.99,1917.25
,1917.67,1917.95
come ,1918.53,1918.85
,1919.349999,1919.739999
,1920.409999,1920.629999
,1921.019999,1921.439999
stand it ,1923.49,1924.109999
tap it ,1924.949999,1925.59
so we're not done ,1927.07,1927.83
we're not done ,1928.95,1929.74
we've got ,1930.47,1931.14
,1931.81,1932.17
,1932.84,1933.11
,1934.62,1935.09
I say a little you ,1936.11,1937.15
they might ,1937.96,1938.49
involve something that's ,1938.83,1939.94
a ,1940.21,1940.7
and everyone was like ,1942.03,1942.699999
,1943.51,1943.88
so we're ,1944.33,1944.92
go to a burpee you can walk it out walk it ,1945.35,1947.96
and up whatever you want to ,1948.26,1949.47
or you can ,1949.91,1950.69
you can give me ,1951.14,1951.84
some good old Kirstie ,1952.22,1953.439999
hot ,1954.249999,1954.459999
burpees whatever you ,1954.9,1955.73
but then we've got twenty ,1955.94,1957.35
in a plank ,1957.87,1958.66
,1959.21,1959.52
and I know it's so super Sam is in the chat working out with ,1960.1,1962.6
and girl is gonna crush these ,1962.93,1964.2
right now aren't you ,1964.52,1965.36
come ,1965.81,1966.08
,1966.61,1967.02
push ups or burpees ,1968.12,1970.19
I don't even know what day it is ,1970.8,1972.08
you ready for those burpees here we go ,1972.45,1975.09
,1975.63,1975.75
one jump it up jump it down we've got three rounds of ,1976.469999,1979.849999
,1980.119999,1980.659999
and ,1981.159999,1982.04
so keep it strong don't just throw yourself on the ,1985.08,1987.84
use those arms use your ,1988.09,1989.6
,1990.139999,1990.459999
keep you ,1990.83,1991.65
we have five come ,1992.05,1993.389999
,1993.889999,1994.289999
,1994.849999,1995.299999
,1995.979999,1996.139999
,1996.66,1997.01
and plank ,1997.369999,1998.56
20 ,1998.9,1999.61
squeeze those quads push energy through your ,2000.98,2003.3
happy ,2005.06,2005.78
I ,2006.33,2006.95
it's almost ,2007.73,2008.51
,2010.349999,2010.959999
big ,2013.139999,2013.929999
big ,2015.559999,2016.52
come on we're back to burpees in three ,2016.97,2019.16
one ,2019.42,2019.96
,2021.18,2021.26
almost there up drop it ,2022.7,2023.51
squad this is where it really ,2024.46,2025.98
I know you're ,2026.48,2027.35
but I'm right here with ,2027.65,2028.76
I'm just as tired as you guys ,2029.15,2030.709999
come ,2031.239999,2031.509999
but we do this ,2032.909999,2033.800001
knowing that we can ,2034.33,2035.42
push together is what gets me ,2035.78,2037.75
,2038.17,2038.45
I need ,2039.19,2039.64
come ,2039.94,2040.33
,2040.97,2041.37
,2042.02,2042.37
,2042.82,2043.22
plank ,2044.25,2045.08
,2045.93,2046.69
let's get ,2047.26,2048.02
so shoulders down your ,2049.599999,2050.699999
it's okay we need to go to your ,2051.27,2052.6000000000004
,2053.3600000000006,2053.4000000000005
hold ,2053.72,2054.15
I just want you to super strong on ,2054.97,2056.65
we're not ,2057.01,2057.79
you're with ,2058.49,2058.88
we have one more round ,2059.65,2061.32
,2061.57,2061.96
best round right ,2062.21,2063.3
,2063.63,2064.04
,2064.82,2065.19
,2065.809999,2066.169999
one come on give it all you ,2066.71,2068.25
maybe you got a tuck jump ,2068.549999,2070.03
I don't know step it step it in whatever ,2070.6,2071.94
,2074.02,2074.27
ten ,2077.05,2077.86
then we have our plnk ,2078.08,2079.27
come on ,2080.66,2081.39
,2082.98,2083.2
four let's go for ,2084.53,2085.85
,2086.42,2086.48
get an extra ,2086.99,2087.47
plank hold this is it hmm shoulders ,2088.3099999999995,2094.09
keep it ,2094.89,2095.8700000000003
let the ,2098.929999,2099.929999
happy ,2100.889999,2101.739999
swell through your ,2102.58,2103.78
because this is ,2104.34,2105.039999
we have five seconds squad don't drop early come ,2105.75,2107.99
,2108.6,2108.99
,2109.7,2110.32
,2110.73,2111.12
slowly lower those legs ,2112.03,2113.6
,2114.57,2115.01
just take a little nap alright just ,2116.19,2119.609999
I want you to place your ,2120.049999,2121.009999
right underneath your ,2121.38,2122.55
peel yourself up and off the ground with the shoulders long down your back so really try to actively push in the ,2123.23,2128.78
squeeze your ,2129.74,2130.6800000000003
push ,2131.54,2132.01
top of ,2133.17,2133.739999
your feet to the ,2134.0,2135.05
big ,2138.69,2139.51
big exhale oh Anthony has been feeling this ,2140.33,2143.14
his question is how can you get this ,2143.49,2145.5599999999995
you can check out the Spotify ,2146.19,2147.97
in the YouTube ,2148.25,2149.62
told ,2150.4,2150.699999
my girl kills ,2151.639999,2152.28
,2153.3700000000003,2153.61
so sit back ,2156.549999,2157.23
Child's Pose and really reach through for those ,2157.65,2160.269999
big ,2161.049999,2161.74
,2163.36,2163.88
exhales ,2165.2200000000003,2166.21
your breath slowed down a little ,2167.03,2168.48
you guys ,2169.78,2170.98
,2172.07,2172.24
alright peel yourself up off the ,2173.27,2175.05
we're gonna sit with our ,2176.91,2178.21
in front of us like we're just chilling out like this feet a little wider than our ,2178.799999,2181.6800000000003
you can place your hands behind you for some ,2181.98,2184.09
we're gonna drop the knees side to ,2184.39,2186.12
and Julio wants to know what shoes I'm ,2187.62,2190.069999
he wants a ,2190.32,2191.07
these are the super ,2191.49,2192.28
this ,2193.19,2193.24
a great shoe for hiit so today it was a perfect workout ,2193.589999,2196.73
even has this thing called the Burpee break that puts you in a really great position for the burpees that we were ,2197.26,2201.06
and in a plank position whoo let's ,2201.61,2205.42
a few more just like ,2206.389999,2207.31
so now I want you to drop it to one side square yourself to the ,2209.44,2213.429999
and then fold ,2213.719999,2214.76
,2215.23,2215.78
Michelle asked so ,2216.55,2218.12
been doing it beginner workouts in the app and wondering what other workouts she could do to get ,2218.49,2224.3500000000004
well if you haven't already done my kick it off program which is a really ,2224.71,2228.05
total ,2228.389999,2229.23
beginner strength program or anybody can really do it ,2230.219999,2232.450001
just ,2234.46,2235.21
an awesome strengthen hit program that just came ,2235.44,2237.81
I also love the breakthrough challenge because it's a great holistic program with yoga animal flow ,2238.47,2243.899999
and ,2244.27,2244.78
so there are tons of programs in there there's also a bunch ,2245.429999,2247.82
regular ,2249.309999,2250.019999
that aren't in programs as ,2250.619999,2251.76
so check them ,2252.0,2252.66
alright go ahead and flip it over to the other ,2253.92,2255.62
same thing square ,2256.29,2257.5200000000004
,2257.92,2258.35
oh I love this ,2259.95,2261.56
what does it mean to you to ,2262.059999,2264.54
as an ,2264.889999,2265.659999
american woman and ,2265.98,2267.33
I love this so ,2268.369999,2269.5
it's funny because this year was something was a year that I was like you know I really want to ,2269.74,2274.15
,2274.57,2275.02
Who I am and where I came from and I was actually born in the ,2275.83,2280.329999
,2280.69,2281.18
I came to the ,2281.759999,2282.859999
when I was only 2 years ,2283.059999,2284.4
so obviously didn't remember the ,2285.049999,2286.8
very ,2287.48,2288.12
and ,2288.45,2289.46
,2290.1,2290.44
for Christmas with my ,2290.9,2292.47
this past year for the first ,2292.75,2294.47
and it was just so amazing to be able to get cultural touch with my ,2294.8,2299.609999
but for me it's just really representing and being proud of everything that I do and always remembering where it came from ,2299.889999,2305.2
you know my mom is such a big representation of all of my hard ,2305.84,2309.34
,2309.75,2310.08
she's taught me everything and I really think it's ,2311.07,2313.729999
,2314.139999,2314.489999
came from the ,2314.7,2316.1
,2316.49,2316.96
I just like to be really proud of everything and I love Filipino ,2318.28,2321.77
,2322.01,2322.4500000000003
yeah I don't know if that really answers the question but yeah but ,2323.34,2327.2200000000003
